Time,Open,High,Low,Close,Tick Volume
1372737600,129.989,130.421,129.908,130.401,9833
1372752000,130.4,130.635,129.837,129.972,16270
1372766400,129.972,130.538,129.892,130.506,16602
1372780800,130.503,131.119,130.49,130.923,16169
1372795200,130.924,130.93,130.328,130.63,9443
1372809600,130.628,130.858,130.312,130.403,11862
1372824000,130.399,130.732,130.329,130.501,11532
1372838400,130.503,130.799,128.998,129.335,21879
1372852800,129.335,129.497,128.645,129.295,19791
1372867200,129.295,130.282,129.062,129.991,16168
1372881600,129.988,130.099,129.797,130.014,6430
1372896000,130.013,130.204,129.739,129.773,10437
1372910400,129.774,129.852,129.6,129.769,9723
1372924800,129.769,129.796,129.361,129.532,13975
1372939200,129.531,129.824,128.831,129.16,17237
1372953600,129.161,129.365,129.026,129.224,9814
1372968000,129.227,129.333,128.998,129.267,3234
1372982400,129.269,129.628,129.167,129.538,11471
1372996800,129.533,129.554,129.193,129.363,8780
1373011200,129.366,129.427,128.58,128.746,15373
1373025600,128.746,129.701,128.634,129.524,19735
1373040000,129.528,129.752,129.297,129.69,15262
1373054400,129.69,129.881,129.664,129.765,5614
1373241600,129.831,130.188,129.641,129.691,11629
1373256000,129.692,129.916,129.516,129.663,10316
1373270400,129.659,130.179,129.397,130.011,14726
1373284800,130.006,130.117,129.834,130.023,14384
1373299200,130.027,130.173,129.701,129.783,12560
1373313600,129.783,130.096,129.727,129.822,6895
1373328000,129.827,130.119,129.692,130.113,11220
1373342400,130.113,130.487,129.809,130.427,10478
1373356800,130.428,130.561,130.114,130.302,16031
1373371200,130.308,130.32,129.98,130.06,13805
1373385600,130.06,130.069,128.706,128.941,16473
1373400000,128.943,129.346,128.884,129.24,6624
1373414400,129.242,129.344,129.137,129.301,9241
1373428800,129.304,129.304,128.21,128.593,14435
1373443200,128.597,128.845,128.014,128.264,18694
1373457600,128.266,128.914,128.201,128.852,14501
1373472000,128.854,129.064,128.498,128.924,14397
1373486400,128.93,129.815,128.573,129.609,18691
1373500800,129.609,130.428,129.054,129.955,23864
1373515200,129.955,130.072,129.157,129.418,21571
1373529600,129.407,129.804,129.071,129.623,21818
1373544000,129.619,129.831,129.12,129.207,19288
1373558400,129.207,129.567,128.644,129.533,17809
1373572800,129.533,129.745,129.223,129.613,12648
1373587200,129.613,129.952,129.194,129.624,11787
1373601600,129.623,129.754,129.411,129.502,8579
1373616000,129.5,129.617,129.061,129.431,14321
1373630400,129.428,129.922,128.906,128.993,19665
1373644800,128.992,129.933,128.907,129.785,15841
1373659200,129.783,129.875,129.561,129.57,5290
1373846400,129.738,129.79,129.478,129.628,5848
1373860800,129.628,129.832,129.393,129.744,5770
1373875200,129.749,130.271,129.635,130.026,13311
1373889600,130.026,130.705,130.017,130.307,19514
1373904000,130.31,130.632,130.141,130.466,13670
1373918400,130.459,130.586,130.294,130.581,8233
1373932800,130.581,130.647,130.312,130.388,10398
1373947200,130.39,130.594,130.291,130.585,9295
1373961600,130.585,130.814,130.036,130.323,16780
1373976000,130.318,130.625,130.161,130.516,18765
1373990400,130.516,130.698,130.261,130.372,15322
1374004800,130.372,130.592,130.264,130.423,9611
1374019200,130.423,130.761,130.289,130.719,10322
1374033600,130.72,130.759,130.467,130.509,8483
1374048000,130.509,131.357,130.45,131.011,16068
1374062400,131.013,131.195,130.307,130.59,17792
1374076800,130.597,130.878,130.465,130.715,19457
1374091200,130.719,130.797,130.478,130.682,7609
1374105600,130.682,130.918,130.532,130.836,9253
1374120000,130.831,131.155,130.733,131.045,10702
1374134400,131.047,131.467,131.04,131.192,15846
1374148800,131.19,131.348,131.061,131.277,15643
1374163200,131.296,131.82,131.291,131.796,15727
1374177600,131.803,131.887,131.563,131.795,8449
1374192000,131.795,132.092,131.393,131.596,13541
1374206400,131.595,131.746,131.214,131.413,14829
1374220800,131.421,131.755,131.266,131.616,16127
1374235200,131.618,131.78,131.388,131.451,14529
1374249600,131.453,131.976,131.419,131.786,12025
1374264000,131.783,132.234,131.635,132.188,5767
1374451200,131.862,132.239,131.153,131.453,14352
1374465600,131.451,131.624,131.33,131.49,10824
1374480000,131.49,131.797,131.434,131.751,13673
1374494400,131.748,131.85,131.36,131.428,14522
1374508800,131.429,131.455,131.148,131.296,13463
1374523200,131.296,131.431,131.167,131.323,5920
1374537600,131.325,131.438,130.765,131.394,11655
1374552000,131.393,131.481,131.128,131.218,10904
1374566400,131.218,131.78,131.091,131.687,15365
1374580800,131.685,132.017,131.627,131.742,15021
1374595200,131.742,131.928,131.521,131.587,14096
1374609600,131.587,131.694,131.43,131.538,7838
1374624000,131.537,131.663,131.37,131.641,9517
1374638400,131.637,131.852,131.525,131.813,9971
1374652800,131.813,132.608,131.714,132.455,16051
